"STUDENTID";"ACADYEAR";"SEMESTER";"CAMPUSID";"COURSEID";"CAMPUSNAME";"CURRIC";"COURSENAME";"SECTIONGROUP";"CREDIT";"GRADE"
321848;2553;1;2;"CS213";"RANGSIT";"521";"DATA STRUCTURES";"050001";3;"C+"
321848;2553;1;2;"CS214";"RANGSIT";"521";"SOCIAL AND PROFESSIONAL ETHICS";"000001";1;"B+"
321848;2553;1;2;"CS222";"RANGSIT";"521";"PROGRAMMING LANGUAGES AND PARADIGMS";"910001";3;"A"
321848;2553;1;2;"CS223";"RANGSIT";"521";"COMPUTER ORGANIZATION AND ARCHITECTURE";"040001";3;"B+"
321848;2553;1;2;"CS284";"RANGSIT";"521";"INTRODUCTION TO SOFTWARE ENGINEERING";"900001";3;"A"
321848;2553;1;2;"EL295";"RANGSIT";"521";"ACADEMIC ENGLISH 1";"070002";3;"A"
321848;2553;1;2;"MA212";"RANGSIT";"521";"CALCULUS 2";"030001";3;"A"
321848;2553;2;2;"CS251";"RANGSIT";"521";"DATABASE SYSTEMS 1";"020001";3;"A"
321848;2553;2;2;"CS261";"RANGSIT";"521";"HUMAN INFORMATION PROCESSING";"090001";3;"A"
321848;2553;2;2;"CS281";"RANGSIT";"521";"OBJECT-ORIENTED ANALYSIS AND DESIGN";"780001";3;"B"
321848;2553;2;2;"EL395";"RANGSIT";"521";"ACADEMIC ENGLISH 2";"050004";3;"A"
321848;2553;2;2;"MA332";"RANGSIT";"521";"LINEAR ALGEBRA";"030001";3;"A"
321848;2553;2;2;"ST216";"RANGSIT";"521";"STATISTICS  FOR  SOCIAL  SCIENCE 1";"040001";3;"A"
321848;2553;2;2;"TU130";"RANGSIT";"521";"INTEGRATED SCIENCES AND TECHNOLOGY";"870001";3;"C+"
321848;2553;3;1;"TU122";"THA PRACHAN";"521";"LAW IN EVERYDAY LIFE";"388301";3;"A"
321848;2554;1;2;"AT326";"RANGSIT";"521";"RICE AND PRODUCTION TECHNOLOGY";"060001";3;"A"
321848;2554;1;2;"CS289";"RANGSIT";"521";"SOFTWARE PROCESS AND QUALITY ASSURANCE";"090001";3;"A"
321848;2554;1;2;"CS314";"RANGSIT";"521";"THEORY OF COMPUTATION";"040001";3;"A"
321848;2554;1;2;"CS341";"RANGSIT";"521";"OPERATING SYSTEMS 1";"050001";3;"B+"
321848;2554;1;2;"CS385";"RANGSIT";"521";"SOFTWARE REQUIREMENT SPECIFICATION AND MANAGEMENT";"020001";3;"B"
321848;2554;2;2;"CS285";"RANGSIT";"521";"PRACTICES AND PATTERNS IN OBJECT-ORIENTED PROGRAMMING";"050001";3;"A"
321848;2554;2;2;"CS288";"RANGSIT";"521";"COMPONENT-BASED SOFTWARE DEVELOPMENT";"030001";3;"A"
321848;2554;2;2;"CS301";"RANGSIT";"521";"FUNDAMENTAL OF RESEARCH METHODOLOGY";"150001";1;"A"
321848;2554;2;2;"CS311";"RANGSIT";"521";"DESIGN AND ANALYSIS OF ALGORITHMS";"120001";3;"A"
321848;2554;2;2;"CS342";"RANGSIT";"521";"NET-CENTRIC COMPUTING 1";"080001";3;"B+"
321848;2554;2;2;"CS374";"RANGSIT";"521";"HUMAN - COMPUTER INTERACTION";"040001";3;"B"
321848;2554;2;2;"CS388";"RANGSIT";"521";"SOFTWARE CONSTRUCTION AND EVOLUTION";"100001";3;"A"
321848;2554;2;2;"CS487";"RANGSIT";"521";"SOFTWARE PROJECT MANAGEMENT";"090001";3;"A"
321848;2555;1;2;"CS302";"RANGSIT";"521";"COMPUTER SECURITY";"820001";3;"A"
321848;2555;1;2;"CS387";"RANGSIT";"521";"WEB APPLICATION AND ENTERPRISE PROGRAMS";"030001";3;"A"
321848;2555;1;2;"CS401";"RANGSIT";"521";"SPECIAL PROJECTS  1";"000001";2;"A"
321848;2555;1;2;"CS488";"RANGSIT";"521";"FORMAL METHODS";"010001";3;"A"
321848;2555;1;2;"CS489";"RANGSIT";"521";"SELECTED TOPICS IN SOFTWARE ENGINEERING";"100001";3;"A"
321848;2555;2;2;"CS402";"RANGSIT";"521";"SPECIAL PROJECTS 2";"000001";3;"A"
321849;2552;1;2;"CS101";"RANGSIT";"521";"DISCRETE STRUCTURES";"010001";3;"C+"
321849;2552;1;2;"CS102";"RANGSIT";"521";"COMPUTER PROGRAMMING FUNDAMENTALS";"020301";4;"C"
321849;2552;1;2;"EL171";"RANGSIT";"521";"ENGLISH COURSE 2";"100008";3;"B+"
321849;2552;1;2;"TH161";"RANGSIT";"521";"THAI USAGE";"090009";3;"B+"
321849;2552;1;2;"TU130";"RANGSIT";"521";"INTEGRATED SCIENCES AND TECHNOLOGY";"540001";3;"C"
